Replicate,NWord,NChar,AveWdLen
1,7,30,3.4285714285714284
2,7,31,3.5714285714285716
3,7,30,3.4285714285714284
4,7,30,3.5714285714285716
5,7,30,3.4285714285714284
6,7,30,3.7142857142857144
7,7,30,3.4285714285714284
8,7,30,3.2857142857142856
9,7,31,3.5714285714285716
10,7,30,3.4285714285714284
11,7,30,3.857142857142857
12,7,30,3.4285714285714284
13,7,30,3.5714285714285716
14,7,31,3.4285714285714284
15,7,30,3.5714285714285716
16,7,30,3.4285714285714284
17,7,30,3.5714285714285716
18,7,30,3.7142857142857144
19,7,30,3.5714285714285716
20,7,31,3.5714285714285716
21,7,30,3.7142857142857144
22,7,30,3.2857142857142856
23,7,30,3.4285714285714284
24,7,30,3.4285714285714284
25,7,30,3.4285714285714284
26,7,30,3.4285714285714284
27,7,30,3.2857142857142856
28,7,30,3.2857142857142856
29,7,31,3.5714285714285716
30,7,30,3.4285714285714284
31,7,30,3.4285714285714284
32,7,30,3.4285714285714284
33,7,30,3.5714285714
34,7,30,3.5714285714285716
35,7,30,3.4285714285714284
36,7,30,3.5714285714285716
37,7,30,3.4285714285714284
38,7,30,3.4285714285714284
39,7,30,3.4285714286
40,7,30,3.2857142857142856
41,7,30,3.7142857142857144
42,7,30,3.857142857142857
43,7,31,3.5714285714285716
44,7,30,3.5714285714285716
45,7,31,3.5714285714285716
46,7,30,3.857142857142857
47,7,30,3.7142857142857144
48,7,30,3.5714285714285716
49,7,31,3.857142857142857
50,7,30,3.5714285714285716
51,7,30,3.4285714285714284
52,7,31,3.7142857142857144
53,7,30,3.7142857142857144
54,7,30,3.5714285714
55,7,30,3.857142857142857
56,7,30,3.7142857142857144
57,7,30,3.5714285714285716
58,7,30,3.4285714285714284
59,7,30,3.4285714285714284
60,7,30,3.7142857142857144
61,7,30,3.4285714285714284
62,7,30,3.5714285714285716
63,7,30,3.4285714285714284
64,7,30,4.285714285714286
65,7,31,3.5714285714285716
66,7,30,3.4285714285714284
67,7,30,3.4285714285714284
68,7,30,3.4285714285714284
69,7,30,3.7142857142857144
70,7,30,3.5714285714
71,7,30,3.857142857142857
72,7,30,3.5714285714285716
73,7,30,3.4285714285714284
74,7,30,3.5714285714285716
75,7,31,3.7142857142857144
76,7,31,3.4285714285714284
77,7,30,3.5714285714285716
78,7,30,3.5714285714285716
79,7,31,3.4285714285714284
80,7,30,3.857142857142857
81,7,30,3.4285714285714284
82,7,30,3.857142857142857
83,7,30,3.4285714285714284
84,7,30,3.5714285714285716
85,7,30,3.7142857142857144
86,7,30,3.2857142857142856
87,7,30,3.2857142857142856
88,7,30,3.5714285714285716
89,7,31,3.4285714285714284
90,7,30,3.5714285714
91,7,31,3.57
92,7,31,3.5714285714285716
93,7,30,3.7142857142857144
94,7,30,3.857142857142857
95,7,30,3.4285714285714284
96,7,30,4.285714285714286
97,7,30,3.4285714285714284
98,7,30,3.4285714285714284
99,7,30,3.5714285714285716
100,7,30,3.7142857142857144
101,7,30,3.4285714285714284
102,7,31,3.4285714285714284
103,7,30,3.4285714286
104,7,30,3.7142857142857144
105,7,30,3.4285714285714284
106,7,30,3.4285714285714284
107,7,30,3.5714285714285716
108,7,30,3.857142857142857
109,7,30,3.2857142857142856
110,7,30,3.5714285714285716
111,7,30,3.857142857142857
112,7,30,4.285714285714286
113,7,30,3.4285714286
114,7,30,3.857142857142857
115,7,30,3.4285714285714284
116,7,30,3.7142857142857144
117,7,30,3.5714285714285716
118,7,30,3.5714285714
119,7,30,3.5714285714285716
120,7,30,4.285714285714286
121,7,30,3.5714285714285716
122,7,30,3.2857142857
123,7,30,3.4285714285714284
124,7,30,3.4285714286
125,7,30,4.285714285714286
126,7,30,3.857142857142857
127,7,30,3.7142857142857144
128,7,30,3.4285714285714284
129,7,30,3.4285714285714284
130,7,30,3.7142857142857144
131,7,31,3.857142857142857
132,7,30,3.857142857142857
133,7,30,3.857142857142857
134,7,30,3.857142857142857
135,7,30,3.5714285714285716
136,7,30,3.5714285714285716
137,7,30,3.4285714285714284
138,7,30,3.4285714285714284
139,7,30,3.5714285714285716
140,7,30,3.7142857142857144
141,7,30,3.857142857142857
142,7,30,3.2857142857142856
143,7,31,3.5714285714
144,7,30,3.857142857142857
145,7,30,3.857142857142857
146,7,30,3.857142857142857
147,7,30,3.5714285714285716
148,7,30,3.857142857142857
149,7,30,3.857142857142857
150,6,30,4.166666666666667
151,7,31,3.7142857142857144
152,7,30,3.4285714285714284
153,7,30,3.4285714285714284
154,7,30,3.7142857142857144
155,7,30,3.4285714285714284
156,7,30,3.5714285714285716
157,7,30,3.4285714285714284
158,7,30,3.4285714285714284
159,7,31,3.57
160,7,30,3.857142857142857
161,7,30,3.4285714285714284
162,7,30,4.285714285714286
163,7,31,3.5714285714285716
164,7,31,3.5714285714285716
165,7,31,3.5714285714285716
166,7,31,3.5714285714285716
167,7,30,3.5714285714285716
168,7,30,3.4285714285714284
169,7,30,3.5714285714285716
170,7,30,3.4285714286
171,7,30,3.857142857142857
172,7,30,3.4285714285714284
173,7,30,3.4285714285714284
174,7,30,3.5714285714285716
175,7,30,3.5714285714285716
176,7,31,3.5714285714285716
177,7,31,3.5714285714285716
178,7,30,3.4285714285714284
179,7,30,3.7142857142857144
180,7,30,3.5714285714285716
181,7,30,3.5714285714285716
182,7,30,4.285714285714286
183,7,30,3.4285714285714284
184,7,30,3.4285714285714284
185,7,30,3.7142857142857144
186,7,30,3.7142857142857144
187,7,30,4.285714285714286
188,7,31,3.4285714285714284
189,7,30,3.4285714285714284
190,7,30,3.4285714285714284
191,7,31,3.5714285714285716
192,7,30,3.5714285714285716
193,7,30,3.7142857142857144
194,7,30,3.4285714285714284
195,7,30,3.5714285714285716
196,7,31,3.5714285714285716
197,7,30,3.5714285714285716
198,7,31,3.5714285714285716
199,7,30,3.857142857142857
200,7,31,3.7142857142857144
201,7,30,3.857142857142857
202,7,30,3.5714285714285716
203,7,30,4.285714285714286
204,7,30,3.4285714285714284
205,7,30,3.4285714285714284
206,7,30,3.5714285714285716
207,7,30,3.4285714285714284
208,7,31,3.4285714285714284
209,7,30,3.2857142857142856
210,7,30,3.4285714286
211,7,30,3.4285714285714284
212,7,31,3.5714285714285716
213,7,31,3.5714285714285716
214,7,30,3.5714285714285716
215,7,30,3.2857142857142856
216,7,30,3.5714285714285716
217,7,30,3.4285714285714284
218,7,30,3.5714285714285716
219,7,30,3.7142857142857144
220,7,30,3.5714285714285716
221,7,30,3.5714285714285716
222,7,30,3.2857142857142856
223,7,30,3.4285714285714284
224,7,30,3.2857142857142856
225,7,30,3.2857142857142856
226,7,30,4.285714285714286
227,7,30,3.7142857142857144
228,7,30,3.5714285714285716
229,7,30,3.5714285714285716
230,7,31,3.857142857142857
231,7,31,3.857142857142857
232,7,30,3.5714285714285716
233,7,30,3.857142857142857
234,7,30,3.7142857142857144
235,7,30,3.4285714285714284
236,7,30,3.7142857142857144
237,7,31,3.7142857142857144
238,7,30,3.5714285714285716
239,7,30,3.4285714285714284
240,7,30,3.4285714285714284
241,7,30,3.4285714285714284
242,7,30,4.285714285714286
243,7,30,3.4285714285714284
244,7,30,3.4285714285714284
245,7,30,3.857142857142857
246,7,30,3.5714285714285716
247,7,30,3.4285714285714284
248,7,30,3.857142857142857
249,7,31,3.5714285714285716
250,7,30,3.857142857142857
251,7,30,3.4285714285714284
252,7,31,3.7142857142857144
253,7,31,3.5714285714285716
254,7,30,3.5714285714
255,7,30,3.5714285714285716
256,7,30,3.2857142857142856
257,7,31,3.5714285714285716
258,7,30,3.857142857142857
259,7,30,3.5714285714285716
260,7,31,3.5714285714285716
261,7,30,3.4285714285714284
262,7,30,3.4285714285714284
263,7,30,3.4285714285714284
264,7,30,3.4285714285714284
265,7,30,3.2857142857142856
266,7,30,3.4285714285714284
267,7,30,3.5714285714285716
268,7,30,3.4285714285714284
269,7,30,3.5714285714285716
270,7,31,3.5714285714285716
271,7,30,3.5714285714285716
272,7,31,3.5714285714285716
273,7,30,3.7142857142857144
274,7,30,3.4285714285714284
275,7,30,3.2857142857142856
276,7,30,3.5714285714285716
277,7,30,3.4285714285714284
278,7,30,3.7142857142857144
279,7,30,3.5714285714285716
280,7,31,3.5714285714285716
281,7,30,3.857142857142857
282,7,30,3.857142857142857
283,7,30,3.857142857142857
284,7,30,3.4285714285714284
285,7,30,3.857142857142857
286,7,31,3.7142857142857144
287,7,30,3.857142857142857
288,7,30,3.4285714285714284
289,7,30,3.857142857142857
290,7,30,3.5714285714285716
291,7,30,3.4285714286
292,7,30,3.5714285714285716
293,7,30,3.4285714285714284
294,7,30,3.5714285714285716
295,7,30,3.857142857142857
296,7,30,3.5714285714285716
297,7,31,3.5714285714285716
298,7,30,3.4285714285714284
299,7,30,4.285714285714286
300,7,30,3.857142857142857
301,7,30,3.857142857142857
302,7,30,3.857142857142857
303,7,30,3.7142857142857144
304,7,30,3.7142857142857144
305,7,30,3.7142857142857144
306,7,30,3.5714285714285716
307,7,30,3.4285714285714284
308,7,30,3.5714285714285716
309,7,30,3.7142857142857144
310,7,30,3.5714285714285716
311,7,30,3.7142857142857144
312,7,30,3.4285714285714284
313,7,30,3.4285714285714284
314,7,30,3.4285714285714284
315,7,30,3.4285714285714284
316,7,30,3.4285714285714284
317,7,30,3.5714285714285716
318,7,30,3.5714285714285716
319,7,30,3.4285714285714284
320,7,31,3.7142857142857144
321,7,30,3.7142857142857144
322,7,30,3.7142857142857144
323,7,30,3.857142857142857
324,7,30,3.4285714285714284
325,7,30,3.5714285714285716
326,7,30,3.5714285714285716
327,7,30,3.4285714285714284
328,7,30,3.5714285714285716
329,7,30,3.7142857142857144
330,7,31,3.5714285714285716
331,7,30,3.7142857142857144
332,7,30,3.5714285714285716
333,7,30,4.285714285714286
334,7,30,3.5714285714285716
