Replicate,NWord,NChar,AveWdLen
1,7,24,3.4285714285714284
2,6,24,4.0
3,7,24,3.4285714285714284
4,7,28,4.0
5,7,24,3.4285714285714284
6,7,27,3.857142857142857
7,7,24,3.4285714285714284
8,7,27,3.857142857142857
9,6,24,4.0
10,7,24,3.4285714285714284
11,7,27,3.857142857142857
12,7,24,3.4285714285714284
13,6,24,4.0
14,6,24,4.0
15,6,26,4.333333333333333
16,6,26,4.333333333333333
17,7,26,3.7142857142857144
18,6,24,4.0
19,6,24,4.0
20,7,24,3.4285714286
21,7,27,3.857142857142857
22,6,24,4.0
23,7,24,3.4285714285714284
24,7,24,3.4285714285714284
25,6,24,4.0
26,6,24,4.0
27,6,24,4.0
28,7,28,4.0
29,6,24,4.0
30,6,24,4.0
31,7,24,3.4285714285714284
32,6,24,4.0
33,6,24,4.0
34,6,24,4.0
35,7,24,3.4285714285714284
36,7,28,4.0
37,6,24,4.0
38,6,26,4.333333333333333
39,6,24,4.0
40,6,26,4.333333333333333
41,7,24,3.4285714285714284
42,7,24,3.4285714285714284
43,6,24,4.0
44,6,24,4.0
45,6,24,4.0
46,7,24,3.4285714285714284
47,6,24,4.0
48,7,26,3.7142857142857144
49,6,24,4.0
50,7,26,3.7142857142857144
51,7,24,3.4285714285714284
52,7,26,3.7142857142857144
53,7,25,3.5714285714285716
54,6,24,4.0
55,6,24,4.0
56,7,25,3.5714285714
57,7,27,3.857142857142857
58,6,24,4.0
59,6,24,4.0
60,6,24,4.0
61,6,24,4.0
62,7,28,4.0
63,7,24,3.4285714285714284
64,6,24,4.0
65,6,24,4.0
66,6,24,4.0
67,7,24,3.4285714286
68,7,26,3.7142857142857144
69,6,24,4.0
70,6,25,4.1666666667
71,7,24,3.4285714285714284
72,6,24,4.0
73,7,24,3.4285714286
74,6,25,4.1666666667
75,6,24,4.0
76,7,28,4.0
77,6,24,4.0
78,7,28,4.0
79,7,24,3.4285714285714284
80,6,24,4.0
81,7,24,3.4285714286
82,6,24,4.0
83,7,27,3.857142857142857
84,6,24,4.0
85,7,24,3.4285714285714284
86,7,28,4.0
87,7,24,3.4285714285714284
88,7,24,3.4285714285714284
89,7,24,3.4285714286
90,6,24,4.0
91,6,24,4.0
92,7,28,4.0
93,6,24,4.0
94,6,24,4.0
95,7,24,3.4285714285714284
96,6,24,4.0
97,7,24,3.4285714286
98,7,24,3.4285714285714284
99,6,24,4.0
100,7,24,3.4285714285714284
