Replicate,NWord,NChar,AveWdLen
1,6,31,4.17
2,6,26,4.33
3,6,31,4.33
4,6,31,4.33
5,6,26,4.33
6,6,31,4.17
7,6,26,4.333333333333333
8,6,26,4.33
9,6,31,4.17
10,6,26,4.33
11,6,26,4.333333333333333
12,6,26,4.333333333333333
13,6,31,4.17
14,6,31,4.17
15,6,31,4.17
16,6,26,4.33
17,6,26,4.333333333333333
18,6,31,4.33
19,6,26,4.333333333333333
20,6,26,4.33
21,6,31,4.33
22,6,26,4.33
23,6,31,4.17
24,6,31,4.33
25,6,31,4.33
26,6,26,4.333333333333333
27,6,26,4.333333333333333
28,6,26,4.33
29,6,31,4.33
30,6,31,4.17
31,6,26,4.333333333333333
32,6,26,4.33
33,6,31,4.33
34,6,31,4.33
35,6,26,4.33
36,6,31,4.17
37,6,31,4.17
38,6,31,4.33
39,6,26,4.333333333333333
40,6,31,4.33
41,6,31,4.17
42,6,26,4.333333333333333
43,6,31,4.17
44,6,31,4.17
45,6,26,4.33
46,6,31,4.17
47,6,26,4.33
48,6,26,4.33
49,6,26,4.33
50,6,26,4.333333333333333
51,6,31,4.17
52,6,31,4.17
53,6,31,4.33
54,6,26,4.333333333333333
55,6,31,4.17
56,6,26,4.333333333333333
57,6,31,4.33
58,6,31,4.33
59,6,31,4.17
60,6,31,4.33
61,6,26,4.33
62,6,26,4.33
63,6,31,4.17
64,6,31,4.33
65,6,31,4.33
66,6,26,4.33
67,6,31,4.17
68,6,31,4.33
69,6,31,4.17
70,6,31,4.33
71,6,31,4.33
72,6,31,4.33
73,6,31,4.17
74,6,31,4.33
75,6,31,4.17
76,6,31,4.17
77,6,31,4.17
78,6,31,4.17
79,6,26,4.33
80,6,26,4.333333333333333
81,6,26,4.333333333333333
82,6,31,4.17
83,6,31,4.17
84,6,31,4.17
85,6,31,4.17
86,6,31,4.17
87,6,31,4.17
88,6,31,4.33
89,6,31,4.17
90,6,31,4.17
91,6,26,4.333333333333333
92,6,26,4.333333333333333
93,6,26,4.333333333333333
94,6,31,4.33
95,6,26,4.333333333333333
96,6,31,4.17
97,6,26,4.33
98,6,31,4.33
99,6,31,4.17
100,6,31,4.17
