Replicate,NWord,NChar,AveWdLen
1,6,24,4.0
2,7,26,3.7142857142857144
3,7,30,4.285714285714286
4,7,29,4.142857142857143
5,7,29,4.142857142857143
6,7,27,3.857142857142857
7,6,26,4.3333333333
8,7,27,3.857142857142857
9,6,24,4.0
10,6,27,4.5
11,7,28,4.0
12,7,27,3.857142857142857
13,7,28,4.0
14,7,24,3.4285714286
15,7,26,3.7142857142857144
16,7,28,4.0
17,7,25,3.5714285714
18,7,24,3.4285714286
19,7,29,4.142857142857143
20,7,29,4.142857142857143
21,7,27,3.857142857142857
22,7,28,4.0
23,6,24,4.0
24,7,28,4.0
25,6,24,4.0
26,7,24,3.4285714286
27,7,28,4.0
28,7,28,4.0
29,7,26,3.7142857142857144
30,6,24,4.0
31,7,24,3.4285714285714284
32,7,28,4.0
33,7,29,4.142857142857143
34,7,30,4.285714285714286
35,7,27,3.857142857142857
36,7,24,3.4285714286
37,6,27,4.5
38,7,27,3.857142857142857
39,7,28,4.0
40,7,27,3.857142857142857
41,7,28,4.0
42,7,29,4.142857142857143
43,7,26,3.7142857142857144
44,6,24,4.0
45,7,30,4.285714285714286
46,7,30,4.285714285714286
47,7,30,4.285714285714286
48,7,27,3.857142857142857
49,7,29,4.142857142857143
50,7,28,4.0
51,7,28,4.0
52,7,24,3.4285714285714284
53,7,28,4.0
54,7,27,3.857142857142857
55,7,30,4.285714285714286
56,7,27,3.857142857142857
57,7,29,4.142857142857143
58,7,30,4.285714285714286
59,7,28,4.0
60,7,27,3.857142857142857
61,7,29,4.142857142857143
62,7,29,4.142857142857143
63,7,24,3.4285714286
64,7,30,4.2857142857
65,7,24,3.4285714285714284
66,7,30,4.285714285714286
67,7,28,4.0
68,7,28,4.0
69,7,27,3.857142857142857
70,6,24,4.0
71,7,24,3.4285714286
72,7,27,3.857142857142857
73,7,26,3.7142857142857144
74,7,29,4.142857142857143
75,7,29,4.142857142857143
76,6,24,4.0
77,7,30,4.285714285714286
78,7,28,4.0
79,7,26,3.7142857142857144
80,7,24,3.4285714286
81,6,26,4.333333333333333
82,7,24,3.4285714285714284
83,7,28,4.0
84,7,28,4.0
85,7,26,3.7142857143
86,7,28,4.0
87,7,28,4.0
88,7,28,4.0
89,7,29,4.142857142857143
90,7,28,4.0
91,7,30,4.2857142857
92,7,28,4.0
93,7,30,4.285714285714286
94,6,24,4.0
95,7,28,4.0
96,7,29,4.142857142857143
97,7,28,4.0
98,7,27,3.857142857142857
99,7,25,3.5714285714
100,7,28,4.0
