Replicate,NWord,NChar,AveWdLen
1,6,25,4.1667
2,6,25,4.1667
3,6,25,4.1667
4,6,25,4.1667
5,6,25,4.1667
6,6,25,4.1667
7,6,25,4.17
8,6,25,4.1667
9,6,25,4.1667
10,6,25,4.1667
11,6,25,4.1667
12,6,25,4.1667
13,6,25,4.17
14,6,25,4.1667
15,6,25,4.1667
16,6,25,4.1667
17,6,25,4.17
18,6,25,4.1667
19,6,25,4.1667
20,6,25,4.1667
21,6,25,4.1667
22,6,25,4.1667
23,6,25,4.1667
24,6,25,4.1667
25,6,25,4.1667
26,6,25,4.1667
27,6,25,4.1667
28,6,25,4.1667
29,6,25,4.1667
30,6,25,4.1667
31,6,25,4.1667
32,6,25,4.1667
33,6,25,4.17
34,6,25,4.1667
35,6,25,4.1667
36,6,25,4.1667
37,6,25,4.1667
38,6,25,4.1667
39,6,25,4.1667
40,6,25,4.1667
41,6,25,4.1667
42,6,25,4.1667
43,6,25,4.1667
44,6,25,4.1667
45,6,25,4.1667
46,6,25,4.1667
47,6,25,4.1667
48,6,25,4.1667
49,6,25,4.1667
50,6,25,4.1667
51,6,25,4.1667
52,6,25,4.1667
53,6,25,4.1667
54,6,25,4.1667
55,6,25,4.1667
56,6,25,4.1667
57,6,25,4.1667
58,6,25,4.1667
59,6,25,4.1667
60,6,25,4.1667
61,6,25,4.1667
62,6,25,4.1667
63,6,25,4.1667
64,6,25,4.1667
65,6,25,4.1667
66,6,25,4.1667
67,6,25,4.1667
68,6,25,4.1667
69,6,25,4.1667
70,6,25,4.1667
71,6,25,4.1667
72,6,25,4.1667
73,6,25,4.1667
74,6,25,4.1667
75,6,25,4.1667
76,6,25,4.1667
77,6,25,4.17
78,6,25,4.1667
79,6,25,4.1667
80,6,25,4.1667
81,6,25,4.1667
82,6,25,4.1667
83,6,25,4.17
84,6,25,4.1667
85,6,25,4.1667
86,6,25,4.1667
87,6,25,4.1667
88,6,25,4.1667
89,6,25,4.17
90,6,25,4.1667
91,6,25,4.1667
92,6,25,4.1667
93,6,25,4.1667
94,6,25,4.1667
95,6,25,4.1667
96,6,25,4.1667
97,6,25,4.1667
98,6,25,4.1667
99,6,25,4.1667
100,6,25,4.1667
