Replicate,NWord,NChar,AveWdLen
1,7,31,3.7142857142857144
2,7,31,3.857142857142857
3,7,31,3.857142857142857
4,7,31,3.857142857142857
5,7,31,3.857142857142857
6,7,31,3.7142857142857144
7,6,31,4.1666666667
8,7,30,3.7142857142857144
9,7,31,3.857142857142857
10,7,30,3.857142857142857
11,7,31,3.857142857142857
12,6,31,4.0
13,7,31,3.7142857142857144
14,7,31,3.857142857142857
15,7,31,4.0
16,7,31,3.857142857142857
17,7,31,3.857142857142857
18,7,31,3.7142857142857144
19,7,31,3.7142857142857144
20,7,31,3.857142857142857
21,6,31,4.333333333333333
22,7,31,3.857142857142857
23,7,31,3.857142857142857
24,7,31,3.857142857142857
25,7,30,3.857142857142857
26,7,31,3.857142857142857
27,7,31,3.857142857142857
28,7,31,3.857142857142857
29,7,31,3.857142857142857
30,7,31,3.857142857142857
31,7,31,3.7142857142857144
32,7,31,3.857142857142857
33,7,31,3.857142857142857
34,7,31,3.857142857142857
35,7,31,3.857142857142857
36,7,31,3.7142857142857144
37,7,31,3.7142857142857144
38,7,31,3.857142857142857
39,7,31,3.857142857142857
40,7,31,3.857142857142857
41,7,31,3.857142857142857
42,7,31,3.857142857142857
43,7,30,3.857142857142857
44,7,31,3.857142857142857
45,7,31,3.857142857142857
46,7,31,3.857142857142857
47,7,31,3.857142857142857
48,7,31,3.857142857142857
49,7,30,3.857142857142857
50,7,31,3.7142857142857144
51,7,31,3.857142857142857
52,7,31,3.857142857142857
53,7,31,3.857142857142857
54,7,31,3.857142857142857
55,7,31,3.857142857142857
56,7,31,3.857142857142857
57,7,31,3.857142857142857
58,7,31,3.857142857142857
59,7,31,3.7142857142857144
60,7,30,3.857142857142857
61,7,31,3.857142857142857
62,7,31,3.857142857142857
63,7,31,3.857142857142857
64,7,31,3.857142857142857
65,7,31,3.857142857142857
66,7,31,3.857142857142857
67,7,30,3.857142857142857
68,7,31,3.857142857142857
69,7,31,3.857142857142857
70,7,31,3.857142857142857
71,7,31,3.857142857142857
72,7,31,3.857142857142857
73,7,31,3.857142857142857
74,7,31,3.7142857142857144
75,7,31,3.857142857142857
76,7,31,3.7142857142857144
77,7,31,3.857142857142857
78,7,31,3.857142857142857
79,7,31,3.857142857142857
80,6,31,4.5
81,7,31,3.857142857142857
82,7,31,3.7142857142857144
83,7,31,3.857142857142857
84,7,31,3.857142857142857
85,7,31,3.857142857142857
86,7,31,3.857142857142857
87,7,31,3.857142857142857
88,6,31,4.0
89,7,31,3.857142857142857
90,7,31,3.7142857142857144
91,7,30,3.857142857142857
92,7,31,3.7142857142857144
93,7,30,3.857142857142857
94,7,31,3.857142857142857
95,7,31,3.857142857142857
96,7,31,3.857142857142857
97,7,31,3.857142857142857
98,7,31,3.857142857142857
99,7,31,3.857142857142857
100,7,31,3.7142857142857144
