Replicate,NWord,NChar,AveWdLen
1,6,31,4.17
2,6,32,4.17
3,6,32,4.17
4,6,31,4.17
5,6,31,4.17
6,6,31,4.17
7,6,31,4.17
8,6,32,4.17
9,6,31,4.17
10,6,31,4.17
11,6,31,4.17
12,6,32,4.17
13,6,31,4.17
14,6,31,4.17
15,6,31,4.17
16,6,32,4.17
17,6,31,4.17
18,6,32,4.17
19,6,32,4.17
20,6,31,4.17
21,6,32,4.17
22,6,31,4.17
23,6,31,4.17
24,6,31,4.17
25,6,31,4.17
26,6,31,4.17
27,6,31,4.17
28,6,32,4.17
29,6,31,4.17
30,6,32,4.17
31,6,32,4.17
32,6,31,4.17
33,6,31,4.17
34,6,31,4.17
35,6,31,4.17
36,6,31,4.17
37,6,31,4.17
38,6,31,4.17
39,6,31,4.17
40,6,31,4.17
41,6,31,4.17
42,6,31,4.17
43,6,31,4.17
44,6,31,4.17
45,6,31,4.17
46,6,32,4.17
47,6,32,4.17
48,6,31,4.17
49,6,31,4.17
50,6,32,4.17
51,6,31,4.17
52,6,32,4.17
53,6,32,4.17
54,6,32,4.17
55,6,31,4.17
56,6,31,4.17
57,6,31,4.17
58,6,31,4.17
59,6,31,4.17
60,6,31,4.17
61,6,31,4.17
62,6,32,4.17
63,6,31,4.17
64,6,31,4.17
65,6,32,4.17
66,6,31,4.17
67,6,31,4.17
68,6,31,4.17
69,6,32,4.17
70,6,31,4.17
71,6,31,4.17
72,6,31,4.17
73,6,31,4.17
74,6,32,4.17
75,6,31,4.17
76,6,31,4.17
77,6,31,4.17
78,6,31,4.17
79,6,31,4.17
80,6,31,4.17
81,6,31,4.17
82,6,32,4.17
83,6,31,4.17
84,6,31,4.17
85,6,31,4.17
86,6,32,4.17
87,6,31,4.17
88,6,31,4.17
89,6,31,4.17
90,6,31,4.17
91,6,31,4.17
92,6,31,4.17
93,6,31,4.17
94,6,31,4.17
95,6,32,4.17
96,6,31,4.17
97,6,31,4.17
98,6,31,4.17
99,6,31,4.17
100,6,32,4.17
